label,size,median_ms,gflops,iters
cuBLAS,128,0.0210,200.098,100
cuBLAS,256,0.0200,1681.272,100
cuBLAS,512,0.0721,3724.165,100
cuBLAS,1024,0.4389,4893.028,100
cuBLAS,2048,3.2175,5339.439,21
cuBLAS,4096,25.8249,5321.947,3
sgemm_v0,128,0.0421,99.635,100
sgemm_v0,256,0.2018,166.242,100
sgemm_v0,512,1.2415,216.216,55
sgemm_v0,1024,9.7810,219.558,7
sgemm_v0,2048,76.7845,223.741,1
sgemm_v0,4096,752.4628,182.652,1
sgemm_v1,128,0.0161,260.260,100
sgemm_v1,256,0.0538,623.558,100
sgemm_v1,512,0.4346,617.594,100
sgemm_v1,1024,3.5080,612.166,19
sgemm_v1,2048,25.9177,662.861,3
sgemm_v1,4096,244.3784,562.402,1
sgemm_v2,128,0.0184,228.444,100
sgemm_v2,256,0.0494,678.585,100
sgemm_v2,512,0.2389,1123.457,100
sgemm_v2,1024,1.8361,1169.598,37
sgemm_v2,2048,14.5016,1184.685,4
sgemm_v2,4096,143.8874,955.184,1
sgemm_v3,128,0.0297,141.095,100
sgemm_v3,256,0.0251,1335.885,100
sgemm_v3,512,0.1237,2170.089,100
sgemm_v3,1024,1.0250,2095.172,73
sgemm_v3,2048,9.7522,1761.642,8
sgemm_v3,4096,100.3960,1368.968,1
